area,age,gender,education,socio_professional_group,years_experience,marital_status,has_car,home_ownership,has_land,number_of_children,source_revenu_secondaire,health_insurance,income,age_category,year_of_birth,age_squared,favorite_color
urbain,26,femme,secondaire,Groupe3,8.0,marié,0,rented,0,1,1,0,15716,adulte,1998,676,jaune
rural,30,homme,fondamental,Groupe2,11.0,marié,0,owned,1,0,1,1,4917,adulte,1994,900,bleu
rural,32,homme,fondamental,Groupe5,11.0,célibataire,1,owned,1,1,0,0,2600,adulte,1992,1024,vert
urbain,32,homme,fondamental,Groupe6,12.0,célibataire,1,rented,0,0,0,0,2727,adulte,1992,1024,jaune
urbain,25,femme,fondamental,Groupe5,3.0,célibataire,1,rented,0,0,1,0,16379,jeune,1999,625,bleu
urbain,23,homme,,Groupe6,0.0,célibataire,1,owned,0,1,0,1,11644,jeune,2001,529,bleu
urbain,30,femme,secondaire,Groupe5,7.0,marié,1,rented,0,3,0,0,9563,adulte,1994,900,bleu
rural,18,femme,fondamental,Groupe6,0.0,veuf,1,owned,1,0,1,0,6211,jeune,2006,324,jaune
urbain,18,femme,supérieur,Groupe5,0.0,marié,0,owned,0,1,0,1,12686,jeune,2006,324,jaune
rural,36,homme,sans_niveau,Groupe5,8.0,célibataire,0,owned,1,3,0,0,6162,adulte,1988,1296,bleu
urbain,36,homme,secondaire,Groupe1,7.0,marié,0,rented,0,1,0,1,39891,adulte,1988,1296,vert
rural,48,femme,secondaire,Groupe3,21.0,célibataire,1,rented,1,0,1,0,4850,sénior,1976,2304,vert
rural,31,homme,fondamental,Groupe1,7.0,divorcé,0,owned,1,0,1,0,10948,adulte,1993,961,rouge
urbain,18,homme,fondamental,Groupe6,0.0,célibataire,0,other,0,0,1,1,11900,jeune,2006,324,vert
urbain,18,femme,fondamental,Groupe6,0.0,célibataire,1,rented,0,0,0,0,1628,jeune,2006,324,jaune
urbain,21,homme,secondaire,Groupe2,0.0,marié,1,other,0,0,0,1,27045,jeune,2003,441,vert
urbain,41,homme,fondamental,Groupe5,20.0,marié,0,rented,0,4,1,0,13566,adulte,1983,1681,vert
urbain,56,femme,supérieur,Groupe5,29.0,célibataire,0,owned,0,1,0,0,19225,sénior,1968,3136,bleu
urbain,35,femme,sans_niveau,Groupe1,10.0,divorcé,1,owned,0,0,0,1,57801,adulte,1989,1225,vert
urbain,18,femme,fondamental,Groupe6,0.0,veuf,1,other,0,0,0,0,17389,jeune,2006,324,bleu
urbain,21,homme,fondamental,Groupe5,1.0,célibataire,0,other,0,0,0,0,17902,jeune,2003,441,bleu
urbain,22,homme,fondamental,Groupe3,4.0,célibataire,1,owned,0,0,0,0,20942,jeune,2002,484,vert
urbain,28,femme,supérieur,Groupe4,5.0,célibataire,0,rented,0,0,0,0,14579,adulte,1996,784,vert
urbain,51,homme,fondamental,Groupe4,20.0,marié,1,owned,1,1,1,0,13231,sénior,1973,2601,jaune
urbain,52,femme,fondamental,Groupe2,27.0,célibataire,1,owned,0,0,0,1,14941,sénior,1972,2704,jaune
rural,32,homme,fondamental,Groupe4,6.0,célibataire,0,owned,0,0,0,1,5126,adulte,1992,1024,vert
urbain,37,homme,fondamental,Groupe5,13.0,veuf,0,rented,0,1,0,1,46279,adulte,1987,1369,rouge
urbain,23,homme,,Groupe2,0.0,célibataire,1,owned,0,2,0,1,23865,jeune,2001,529,rouge
urbain,18,femme,supérieur,Groupe1,0.0,célibataire,1,owned,0,1,1,1,18641,jeune,2006,324,bleu
urbain,61,femme,secondaire,Groupe4,30.0,marié,1,rented,0,0,0,0,29511,âgé,1963,3721,rouge
urbain,18,homme,supérieur,Groupe1,0.0,célibataire,1,,0,0,0,0,23087,jeune,2006,324,bleu
urbain,18,homme,fondamental,Groupe2,0.0,marié,1,owned,0,0,0,1,9597,jeune,2006,324,rouge
urbain,61,homme,sans_niveau,Groupe4,27.0,veuf,1,owned,0,0,1,1,42140,âgé,1963,3721,bleu
rural,35,homme,fondamental,Groupe1,7.0,célibataire,0,owned,0,0,1,1,18248,adulte,1989,1225,jaune
rural,18,homme,secondaire,Groupe6,0.0,célibataire,0,owned,1,0,0,0,3012,jeune,2006,324,vert
rural,45,femme,fondamental,Groupe3,18.0,veuf,0,owned,1,0,1,1,1707,adulte,1979,2025,bleu
urbain,46,femme,fondamental,Groupe4,20.0,marié,0,other,0,1,1,0,33506,sénior,1978,2116,rouge
urbain,18,homme,sans_niveau,Groupe4,0.0,célibataire,0,owned,0,2,0,1,8344,jeune,2006,324,jaune
rural,27,homme,fondamental,Groupe4,4.0,marié,0,rented,1,3,1,0,3776,adulte,1997,729,bleu
urbain,48,homme,secondaire,Groupe2,18.0,marié,0,rented,0,1,1,1,14988,sénior,1976,2304,bleu
urbain,22,femme,secondaire,Groupe2,,célibataire,1,owned,0,0,0,1,20978,jeune,2002,484,rouge
urbain,39,femme,,Groupe2,15.0,célibataire,0,owned,0,0,1,1,10834,adulte,1985,1521,bleu
urbain,56,homme,supérieur,Groupe3,24.0,marié,1,rented,0,0,1,1,56522,sénior,1968,3136,bleu
rural,18,homme,secondaire,Groupe5,0.0,marié,1,owned,1,0,0,0,2012,jeune,2006,324,rouge
urbain,29,femme,,Groupe5,9.0,marié,1,rented,0,0,0,0,8279,adulte,1995,841,bleu
rural,38,homme,sans_niveau,Groupe5,9.0,célibataire,0,rented,1,0,1,0,4637,adulte,1986,1444,vert
urbain,18,femme,secondaire,Groupe2,0.0,veuf,1,rented,0,0,0,1,8813,jeune,2006,324,jaune
urbain,27,homme,fondamental,Groupe1,,marié,1,rented,0,0,1,1,66442,adulte,1997,729,bleu
urbain,50,femme,fondamental,Groupe2,18.0,veuf,0,rented,0,1,1,1,15221,sénior,1974,2500,rouge
urbain,24,femme,fondamental,Groupe5,0.0,marié,0,rented,0,0,0,0,5015,jeune,2000,576,jaune
rural,18,homme,fondamental,Groupe5,0.0,marié,0,owned,1,0,1,0,2133,jeune,2006,324,bleu
rural,51,homme,fondamental,Groupe5,23.0,marié,0,other,1,0,1,0,18454,sénior,1973,2601,jaune
rural,41,homme,supérieur,Groupe6,12.0,célibataire,1,owned,1,2,0,0,7608,adulte,1983,1681,bleu
rural,33,homme,fondamental,Groupe1,12.0,célibataire,1,owned,1,1,1,1,24007,adulte,1991,1089,bleu
urbain,33,femme,fondamental,Groupe5,14.0,célibataire,1,owned,0,0,0,0,14233,adulte,1991,1089,rouge
rural,50,homme,secondaire,Groupe5,,célibataire,0,owned,1,1,0,0,6522,sénior,1974,2500,jaune
urbain,39,homme,secondaire,Groupe4,15.0,célibataire,1,owned,0,2,1,0,17080,adulte,1985,1521,vert
urbain,44,homme,fondamental,Groupe3,15.0,célibataire,1,owned,0,2,1,1,4899,adulte,1980,1936,rouge
urbain,24,homme,secondaire,Groupe5,2.0,célibataire,0,owned,0,1,0,0,7870,jeune,2000,576,vert
urbain,18,femme,secondaire,Groupe5,0.0,célibataire,1,owned,0,0,0,0,12473,jeune,2006,324,bleu
urbain,44,homme,supérieur,Groupe5,16.0,divorcé,1,owned,0,3,0,1,22837,adulte,1980,1936,rouge
urbain,51,femme,fondamental,Groupe6,23.0,veuf,1,owned,0,0,0,0,9848,sénior,1973,2601,rouge
