Age,Categorie_age,Sexe,Milieu,Region_geographique,Etat_matrimonial,Niveau_education,Annees_experience,CSP,Secteur_emploi,Propriete_immobiliere,Vehicule_motorise,Terrain_agricole,Revenu_secondaire,Revenu_Annuel
56,55-64,Homme,Rural,Centre,Marié,Fondamental,5.0,Agriculteurs,Privé,Non,Non,Oui,Non,5231.0
46,45-54,Femme,Urbain,Centre,Célibataire,Supérieur,14.0,Cadres supérieurs,Public,Oui,Oui,Non,Non,86759.0
32,25-34,Homme,Rural,Sud,Marié,Fondamental,8.0,Ouvriers,Informel,Non,Oui,Non,Non,3941.0
60,55-64,Homme,Rural,Sud,Marié,Supérieur,17.0,Cadres supérieurs,Privé,Oui,Oui,Non,Oui,109176.0
25,25-34,Femme,Urbain,Centre,Marié,Secondaire,3.0,Employés,Privé,Non,Non,Non,Non,14906.0
38,35-44,Homme,Rural,Est,Divorcé,Secondaire,5.0,Employés,Privé,Oui,Non,Non,Non,15206.0
56,55-64,Homme,Rural,Ouest,Marié,Fondamental,33.0,Ouvriers,Privé,Non,Non,Non,Non,9408.0
36,35-44,Femme,Urbain,Ouest,Marié,Secondaire,7.0,Employés,Privé,Oui,Oui,Non,Non,17057.0
40,35-44,Homme,Urbain,Centre,Marié,Supérieur,13.0,Cadres supérieurs,Privé,Oui,Non,Non,Non,109897.0
28,25-34,Femme,Urbain,Nord,Marié,Secondaire,3.0,Ouvriers,Privé,Non,Non,Non,Non,10560.0
28,25-34,Femme,Urbain,Nord,Marié,Supérieur,4.0,Professions intermédiaires,Privé,Oui,Oui,Non,Oui,45968.0
41,35-44,Homme,Urbain,Ouest,Célibataire,Fondamental,12.0,Ouvriers,Informel,Non,Non,Non,Non,6283.0
53,45-54,Femme,Rural,Est,Divorcé,Secondaire,22.0,Professions intermédiaires,Privé,Non,Oui,Non,Non,27365.0
57,55-64,Femme,Rural,Sud,Célibataire,Fondamental,36.0,Ouvriers,Informel,Non,Non,Non,Non,4916.0
41,35-44,Femme,Urbain,Centre,Marié,Sans niveau,22.0,Agriculteurs,Informel,Non,Non,Oui,Non,2848.0
20,18-24,Homme,Urbain,Sud,Célibataire,Fondamental,1.0,Agriculteurs,Privé,Non,Oui,Oui,Oui,8550.0
39,35-44,Homme,Rural,Centre,Marié,Fondamental,4.0,Ouvriers,Informel,Non,Non,Non,Non,4225.0
19,18-24,Femme,Urbain,Nord,Célibataire,Supérieur,0.0,Employés,Privé,Oui,Non,Non,Non,24549.0
41,35-44,Femme,Rural,Nord,Marié,Fondamental,12.0,Ouvriers,Informel,Oui,Non,Non,Non,3790.0
61,55-64,Homme,Rural,Centre,Célibataire,Sans niveau,22.0,Agriculteurs,Informel,Oui,Non,Oui,Non,2358.0
47,45-54,Femme,Rural,Est,Marié,Fondamental,26.0,Ouvriers,Privé,Non,Oui,Non,Non,5904.0
55,55-64,Homme,Rural,Sud,Marié,Sans niveau,37.0,Inactifs,nan,Non,Non,Non,Non,3504.0
19,18-24,Femme,Urbain,Nord,Veuf,Fondamental,1.0,Ouvriers,Informel,Non,Non,Non,Non,4048.0
38,35-44,Femme,Urbain,Centre,Marié,Supérieur,11.0,Cadres supérieurs,Privé,Oui,Oui,Non,Non,80478.0
50,45-54,Femme,Rural,Nord,Marié,Secondaire,12.0,Employés,Privé,Non,Non,Oui,Non,17050.0
29,25-34,Homme,Rural,Centre,Marié,Secondaire,8.0,Employés,Privé,Non,Non,Non,Non,19914.0
39,35-44,Femme,Urbain,Centre,Célibataire,Fondamental,1.0,Agriculteurs,Privé,Non,Non,Non,Oui,8226.0
61,55-64,Femme,Urbain,Centre,Marié,Sans niveau,35.0,Agriculteurs,Informel,Non,Non,Non,Non,3044.0
42,35-44,Homme,Rural,Est,Marié,Supérieur,16.0,Cadres supérieurs,Privé,Oui,Non,Non,Non,103070.0
44,35-44,Femme,Urbain,Centre,Marié,Secondaire,15.0,Professions intermédiaires,Public,Oui,Non,Non,Non,27720.0
59,55-64,Homme,Urbain,Nord,Marié,Sans niveau,8.0,Agriculteurs,Informel,Non,Non,Non,Oui,6239.0
45,45-54,Homme,Rural,Ouest,Marié,Secondaire,16.0,Professions intermédiaires,Privé,Non,Non,Non,Oui,37238.0
33,25-34,Homme,Urbain,Nord,Marié,Secondaire,9.0,Employés,Privé,Non,Non,Non,Non,22024.0
32,25-34,Homme,Urbain,Centre,Marié,Secondaire,5.0,Employés,Privé,Oui,Non,Non,Non,20069.0
61,55-64,Homme,Urbain,Ouest,Divorcé,Sans niveau,12.0,Inactifs,nan,Non,Non,Non,Non,5743.0
20,18-24,Homme,Rural,Est,Célibataire,Secondaire,0.0,Ouvriers,Informel,Oui,Oui,Non,Non,6582.0
54,45-54,Femme,Urbain,Ouest,Marié,Secondaire,34.0,Professions intermédiaires,Privé,Non,Non,Non,Oui,46865.0
24,18-24,Homme,Urbain,Sud,Célibataire,Fondamental,0.0,Ouvriers,Informel,Non,Non,Non,Non,4531.0
38,35-44,Femme,Rural,Sud,Marié,Secondaire,8.0,Employés,Privé,Oui,Oui,Non,Non,13602.0
26,25-34,Homme,Urbain,Nord,Marié,Sans niveau,4.0,Inactifs,nan,Non,Non,Non,Non,5188.0
56,55-64,Femme,Urbain,Centre,Célibataire,Supérieur,4.0,Professions intermédiaires,Public,Non,Oui,Non,Non,42923.0
35,35-44,Homme,Urbain,Centre,Marié,Sans niveau,3.0,Ouvriers,Privé,Non,Non,Non,Non,5345.0
21,18-24,Femme,Urbain,Centre,Célibataire,Fondamental,0.0,Inactifs,nan,Non,Non,Non,Non,5678.0
42,35-44,Homme,Rural,Est,Divorcé,Secondaire,22.0,Professions intermédiaires,Public,Oui,Oui,Non,Non,33306.0
31,25-34,Femme,Rural,Centre,Marié,Supérieur,8.0,Professions intermédiaires,Privé,Non,Non,Non,Oui,56147.0
26,25-34,Homme,Rural,Est,Divorcé,Fondamental,6.0,Ouvriers,Privé,Non,Non,Non,Non,5190.0
43,35-44,Homme,Rural,Centre,Célibataire,Sans niveau,10.0,Inactifs,nan,Non,Non,Non,Non,3585.0
19,18-24,Homme,Urbain,Ouest,Célibataire,Sans niveau,0.0,Inactifs,nan,Non,Non,Non,Non,5152.0
37,35-44,Homme,Rural,Centre,Marié,Secondaire,16.0,Professions intermédiaires,Public,Non,Non,Non,Oui,35584.0
45,45-54,Homme,Rural,Est,Veuf,Secondaire,25.0,Professions intermédiaires,Privé,Oui,Oui,Non,Non,37044.0
24,18-24,Homme,Urbain,Centre,Célibataire,Supérieur,1.0,Employés,Public,Non,Non,Non,Non,33106.0
61,55-64,Femme,Urbain,Centre,Célibataire,Sans niveau,20.0,Agriculteurs,Informel,Oui,Non,Oui,Non,2895.0
25,25-34,Homme,Urbain,Est,Marié,Secondaire,0.0,Ouvriers,Informel,Non,Non,Non,Non,7780.0
52,45-54,Femme,Urbain,Ouest,Marié,Secondaire,5.0,Employés,Privé,Non,Oui,Non,Non,15899.0
31,25-34,Femme,Urbain,Nord,Veuf,Supérieur,1.0,Employés,Privé,Non,Non,Non,Oui,29391.0
34,25-34,Femme,Rural,Est,Marié,Secondaire,7.0,Employés,Privé,Oui,Non,Non,Non,13078.0
53,45-54,Femme,Rural,Ouest,Marié,Fondamental,26.0,Ouvriers,Informel,Non,Non,Non,Non,4897.0
57,55-64,Femme,Rural,Est,Marié,Supérieur,22.0,Cadres supérieurs,Public,Non,Oui,Non,Oui,98002.0
21,18-24,Femme,Urbain,Sud,Célibataire,Supérieur,0.0,Professions intermédiaires,Public,Non,Oui,Non,Oui,31259.0
19,18-24,Femme,Urbain,Ouest,Célibataire,Supérieur,0.0,Employés,Privé,Non,Oui,Non,Non,25672.0
23,18-24,Femme,Rural,Sud,Célibataire,Secondaire,3.0,Ouvriers,Privé,Non,Non,Non,Non,8298.0
59,55-64,Homme,Rural,Centre,Veuf,Supérieur,32.0,Cadres supérieurs,Privé,Oui,Oui,Non,Oui,191927.0
21,18-24,Homme,Urbain,Centre,Célibataire,Secondaire,1.0,Ouvriers,Informel,Oui,Non,Non,Non,9343.0
46,45-54,Homme,Rural,Ouest,Veuf,Sans niveau,16.0,Ouvriers,Privé,Non,Non,Non,Non,3652.0
35,35-44,Femme,Urbain,Centre,Marié,Fondamental,12.0,Ouvriers,Informel,Non,Non,Non,Non,5057.0
43,35-44,Femme,Rural,Centre,Marié,Supérieur,3.0,Professions intermédiaires,Privé,Non,Oui,Non,Non,39375.0
61,55-64,Homme,Rural,Centre,Divorcé,Supérieur,30.0,Cadres supérieurs,Privé,Oui,Oui,Non,Non,179617.0
51,45-54,Femme,Rural,Ouest,Divorcé,Supérieur,22.0,Cadres supérieurs,Privé,Non,Non,Non,Non,115113.0
27,25-34,Homme,Rural,Ouest,Marié,Fondamental,6.0,Agriculteurs,Informel,Non,Non,Oui,Non,3930.0
53,45-54,Homme,Urbain,Centre,Célibataire,Sans niveau,9.0,Inactifs,nan,Non,Non,Non,Non,5574.0
31,25-34,Femme,Rural,Sud,Marié,Fondamental,10.0,Ouvriers,Informel,Oui,Non,Non,Non,3198.0
